INFO - 2014-07-05 16:57:56.823309	.mpd file sent successfully
INFO - 2014-07-05 16:57:56.825167	uploading segment [0] | layer [0] completed | current bandwitdth: [379256.114566Kb/s]
INFO - 2014-07-05 16:57:56.826353	uploading segment [0] | layer [1] completed | current bandwitdth: [420705.964469Kb/s]
INFO - 2014-07-05 16:57:56.827562	uploading segment [0] | layer [2] completed | current bandwitdth: [1026699.56365Kb/s]
INFO - 2014-07-05 16:57:56.828859	uploading segment [1] | layer [0] completed | current bandwitdth: [596578.298146Kb/s]
INFO - 2014-07-05 16:57:56.832028	uploading segment [1] | layer [1] completed | current bandwitdth: [2075037.00758Kb/s]
INFO - 2014-07-05 16:57:56.836263	uploading segment [1] | layer [2] completed | current bandwitdth: [1454521.218Kb/s]
INFO - 2014-07-05 16:57:56.837962	uploading segment [2] | layer [0] completed | current bandwitdth: [173988.849038Kb/s]
INFO - 2014-07-05 16:57:56.839718	uploading segment [2] | layer [1] completed | current bandwitdth: [1251088.97393Kb/s]
INFO - 2014-07-05 16:57:56.841841	uploading segment [2] | layer [2] completed | current bandwitdth: [745299.190542Kb/s]
INFO - 2014-07-05 16:57:56.843869	uploading segment [3] | layer [0] completed | current bandwitdth: [366360.104105Kb/s]
INFO - 2014-07-05 16:57:56.848139	uploading segment [3] | layer [1] completed | current bandwitdth: [1387381.417Kb/s]
INFO - 2014-07-05 16:57:56.852108	uploading segment [3] | layer [2] completed | current bandwitdth: [2047556.18299Kb/s]
INFO - 2014-07-05 16:57:56.854028	uploading segment [4] | layer [0] completed | current bandwitdth: [518062.651407Kb/s]
INFO - 2014-07-05 16:57:56.858754	uploading segment [4] | layer [1] completed | current bandwitdth: [1773960.62355Kb/s]
INFO - 2014-07-05 16:57:56.863791	uploading segment [4] | layer [2] completed | current bandwitdth: [1360835.60673Kb/s]
INFO - 2014-07-05 16:57:56.865484	uploading segment [5] | layer [0] completed | current bandwitdth: [158888.135406Kb/s]
INFO - 2014-07-05 16:57:56.867134	uploading segment [5] | layer [1] completed | current bandwitdth: [541804.080148Kb/s]
INFO - 2014-07-05 16:57:56.868773	uploading segment [5] | layer [2] completed | current bandwitdth: [1962450.34732Kb/s]
INFO - 2014-07-05 16:57:56.870080	uploading segment [6] | layer [0] completed | current bandwitdth: [103848.037078Kb/s]
INFO - 2014-07-05 16:57:56.871341	uploading segment [6] | layer [1] completed | current bandwitdth: [300214.073806Kb/s]
INFO - 2014-07-05 16:57:56.872645	uploading segment [6] | layer [2] completed | current bandwitdth: [1097130.22741Kb/s]
INFO - 2014-07-05 16:57:56.873845	uploading segment [7] | layer [0] completed | current bandwitdth: [127326.683576Kb/s]
INFO - 2014-07-05 16:57:56.875044	uploading segment [7] | layer [1] completed | current bandwitdth: [426977.093625Kb/s]
INFO - 2014-07-05 16:57:56.876509	uploading segment [7] | layer [2] completed | current bandwitdth: [1249514.58472Kb/s]
INFO - 2014-07-05 16:57:56.878683	uploading segment [8] | layer [0] completed | current bandwitdth: [370450.779099Kb/s]
INFO - 2014-07-05 16:57:56.882687	uploading segment [8] | layer [1] completed | current bandwitdth: [1385053.91816Kb/s]
INFO - 2014-07-05 16:57:56.886245	uploading segment [8] | layer [2] completed | current bandwitdth: [1635242.60443Kb/s]
INFO - 2014-07-05 16:57:56.888474	uploading segment [9] | layer [0] completed | current bandwitdth: [321507.248073Kb/s]
INFO - 2014-07-05 16:57:56.890265	uploading segment [9] | layer [1] completed | current bandwitdth: [1339411.66574Kb/s]
INFO - 2014-07-05 16:57:56.893403	uploading segment [9] | layer [2] completed | current bandwitdth: [1952794.85354Kb/s]
