INFO - 02:57:11.420186	.mpd file sent successfully
INFO - 02:57:11.461793	seg [0,0] | thr: [193.6094Kb/s] | est BW: [4726.4332 Kb/s] | T seg: [0.0403 s] | T sec: [0.0403 s] | T frc seg: [0.0098 s] | T frc sec: [0.0502 s]
INFO - 02:57:11.493874	seg [0,1] | thr: [193.6094Kb/s] | est BW: [11734.1994 Kb/s] | T seg: [0.0316 s] | T sec: [0.072 s] | T frc seg: [0.0096 s] | T frc sec: [0.0815 s]
INFO - 02:57:11.697000	seg [0,2] | thr: [193.6094Kb/s] | est BW: [4433.636 Kb/s] | T seg: [0.2027 s] | T sec: [0.2746 s] | T frc seg: [0.0 s] | T frc sec: [0.0 s]
INFO - 02:57:14.018449	seg [1,0] | thr: [193.6094Kb/s] | est BW: [981.98 Kb/s] | T seg: [0.5938 s] | T sec: [0.5938 s] | T frc seg: [0.6564 s] | T frc sec: [1.2503 s]
INFO - 02:57:17.161230	seg [1,1] | thr: [193.6094Kb/s] | est BW: [1641.3345 Kb/s] | T seg: [3.1419 s] | T sec: [3.7357 s] | T frc seg: [0.363 s] | T frc sec: [4.0988 s]
INFO - 02:57:20.616355	seg [2,0] | thr: [193.6094Kb/s] | est BW: [60.1908 Kb/s] | T seg: [3.4546 s] | T sec: [3.4546 s] | T frc seg: [3.1438 s] | T frc sec: [6.5985 s]
INFO - 02:57:21.883399	seg [3,0] | thr: [193.6094Kb/s] | est BW: [471.1508 Kb/s] | T seg: [1.2666 s] | T sec: [1.2666 s] | T frc seg: [0.4016 s] | T frc sec: [1.6682 s]
INFO - 02:57:23.967628	seg [3,1] | thr: [193.6094Kb/s] | est BW: [726.5416 Kb/s] | T seg: [2.0836 s] | T sec: [3.3502 s] | T frc seg: [0.841 s] | T frc sec: [4.1913 s]
INFO - 02:57:24.228699	seg [4,0] | thr: [193.6094Kb/s] | est BW: [2761.3244 Kb/s] | T seg: [0.2605 s] | T sec: [0.2605 s] | T frc seg: [0.2213 s] | T frc sec: [0.4818 s]
INFO - 02:57:25.220514	seg [4,1] | thr: [193.6094Kb/s] | est BW: [4932.6015 Kb/s] | T seg: [0.991 s] | T sec: [1.2515 s] | T frc seg: [0.1424 s] | T frc sec: [1.394 s]
