INFO - 23:52:27.743336	.mpd file sent successfully
INFO - 23:52:27.787851	seg [0,0] | thr: [193.6094Kb/s] | est BW: [4399.9683 Kb/s] | T seg: [0.0433 s] | T sec: [0.0433 s] | T frc seg: [0.0105 s] | T frc sec: [0.0539 s]
INFO - 23:52:27.819995	seg [0,1] | thr: [193.6094Kb/s] | est BW: [11708.5977 Kb/s] | T seg: [0.0317 s] | T sec: [0.075 s] | T frc seg: [0.0096 s] | T frc sec: [0.0846 s]
INFO - 23:52:28.040307	seg [0,2] | thr: [193.6094Kb/s] | est BW: [4088.4065 Kb/s] | T seg: [0.2198 s] | T sec: [0.2948 s] | T frc seg: [0.0 s] | T frc sec: [0.0 s]
INFO - 23:52:29.789648	seg [1,0] | thr: [193.6094Kb/s] | est BW: [13972.4519 Kb/s] | T seg: [0.0417 s] | T sec: [0.0417 s] | T frc seg: [0.0461 s] | T frc sec: [0.0879 s]
INFO - 23:52:30.782265	seg [1,1] | thr: [193.6094Kb/s] | est BW: [5199.6169 Kb/s] | T seg: [0.9918 s] | T sec: [1.0335 s] | T frc seg: [0.1146 s] | T frc sec: [1.1481 s]
INFO - 23:52:32.553949	seg [1,2] | thr: [193.6094Kb/s] | est BW: [2691.6793 Kb/s] | T seg: [1.771 s] | T sec: [2.8045 s] | T frc seg: [0.0 s] | T frc sec: [0.0 s]
INFO - 23:52:33.221866	seg [2,0] | thr: [193.6094Kb/s] | est BW: [311.5107 Kb/s] | T seg: [0.6675 s] | T sec: [0.6675 s] | T frc seg: [0.6075 s] | T frc sec: [1.275 s]
INFO - 23:52:33.441801	seg [2,1] | thr: [193.6094Kb/s] | est BW: [6901.2406 Kb/s] | T seg: [0.2194 s] | T sec: [0.8869 s] | T frc seg: [0.0229 s] | T frc sec: [0.9098 s]
INFO - 23:52:33.721194	seg [2,2] | thr: [193.6094Kb/s] | est BW: [4530.9027 Kb/s] | T seg: [0.2789 s] | T sec: [1.1657 s] | T frc seg: [0.0 s] | T frc sec: [0.0 s]
INFO - 23:52:34.597111	seg [3,0] | thr: [193.6094Kb/s] | est BW: [14824.0626 Kb/s] | T seg: [0.0403 s] | T sec: [0.0403 s] | T frc seg: [0.0412 s] | T frc sec: [0.0815 s]
INFO - 23:52:35.665939	seg [3,1] | thr: [193.6094Kb/s] | est BW: [4576.9134 Kb/s] | T seg: [1.068 s] | T sec: [1.1083 s] | T frc seg: [0.1621 s] | T frc sec: [1.2704 s]
INFO - 23:52:37.127914	seg [3,2] | thr: [193.6094Kb/s] | est BW: [4061.6922 Kb/s] | T seg: [1.4612 s] | T sec: [2.5695 s] | T frc seg: [0.0 s] | T frc sec: [0.0 s]
INFO - 23:52:37.693095	seg [4,0] | thr: [193.6094Kb/s] | est BW: [1273.9631 Kb/s] | T seg: [0.5647 s] | T sec: [0.5647 s] | T frc seg: [0.5514 s] | T frc sec: [1.1161 s]
INFO - 23:52:39.777981	seg [4,1] | thr: [193.6094Kb/s] | est BW: [2696.4909 Kb/s] | T seg: [2.0841 s] | T sec: [2.6488 s] | T frc seg: [0.2581 s] | T frc sec: [2.9068 s]
INFO - 23:52:40.588850	seg [5,0] | thr: [193.6094Kb/s] | est BW: [228.8024 Kb/s] | T seg: [0.8104 s] | T sec: [0.8104 s] | T frc seg: [0.3642 s] | T frc sec: [1.1746 s]
INFO - 23:52:40.819949	seg [5,1] | thr: [193.6094Kb/s] | est BW: [2891.1706 Kb/s] | T seg: [0.2306 s] | T sec: [1.041 s] | T frc seg: [0.2407 s] | T frc sec: [1.2817 s]
INFO - 23:52:42.426552	seg [5,2] | thr: [193.6094Kb/s] | est BW: [3466.8519 Kb/s] | T seg: [1.6058 s] | T sec: [2.6467 s] | T frc seg: [0.0 s] | T frc sec: [0.0 s]
INFO - 23:52:42.793279	seg [6,0] | thr: [193.6094Kb/s] | est BW: [260.8226 Kb/s] | T seg: [0.3663 s] | T sec: [0.3663 s] | T frc seg: [0.1329 s] | T frc sec: [0.4992 s]
INFO - 23:52:42.828971	seg [6,1] | thr: [193.6094Kb/s] | est BW: [7879.341 Kb/s] | T seg: [0.0352 s] | T sec: [0.4015 s] | T frc seg: [0.0349 s] | T frc sec: [0.4364 s]
INFO - 23:52:43.011055	seg [6,2] | thr: [193.6094Kb/s] | est BW: [12131.5041 Kb/s] | T seg: [0.1815 s] | T sec: [0.583 s] | T frc seg: [0.0 s] | T frc sec: [0.0 s]
INFO - 23:52:44.499104	seg [7,0] | thr: [193.6094Kb/s] | est BW: [1599.0875 Kb/s] | T seg: [0.0691 s] | T sec: [0.0691 s] | T frc seg: [0.0299 s] | T frc sec: [0.0989 s]
INFO - 23:52:44.528355	seg [7,1] | thr: [193.6094Kb/s] | est BW: [13297.947 Kb/s] | T seg: [0.0288 s] | T sec: [0.0978 s] | T frc seg: [0.0099 s] | T frc sec: [0.1077 s]
INFO - 23:52:44.960854	seg [7,2] | thr: [193.6094Kb/s] | est BW: [2427.9719 Kb/s] | T seg: [0.432 s] | T sec: [0.5298 s] | T frc seg: [0.0 s] | T frc sec: [0.0 s]
INFO - 23:52:46.472340	seg [8,0] | thr: [193.6094Kb/s] | est BW: [15872.0062 Kb/s] | T seg: [0.0392 s] | T sec: [0.0392 s] | T frc seg: [0.034 s] | T frc sec: [0.0733 s]
INFO - 23:52:47.346463	seg [8,1] | thr: [193.6094Kb/s] | est BW: [4946.9887 Kb/s] | T seg: [0.8733 s] | T sec: [0.9126 s] | T frc seg: [0.0339 s] | T frc sec: [0.9464 s]
INFO - 23:52:47.774499	seg [8,2] | thr: [193.6094Kb/s] | est BW: [3134.0749 Kb/s] | T seg: [0.4275 s] | T sec: [1.34 s] | T frc seg: [0.0 s] | T frc sec: [0.0 s]
INFO - 23:52:48.475317	seg [9,0] | thr: [193.6094Kb/s] | est BW: [14114.8706 Kb/s] | T seg: [0.0397 s] | T sec: [0.0397 s] | T frc seg: [0.0146 s] | T frc sec: [0.0543 s]
INFO - 23:52:48.713656	seg [9,1] | thr: [193.6094Kb/s] | est BW: [6954.2071 Kb/s] | T seg: [0.2378 s] | T sec: [0.2774 s] | T frc seg: [0.0763 s] | T frc sec: [0.3537 s]
INFO - 23:52:49.622326	seg [9,2] | thr: [193.6094Kb/s] | est BW: [4673.3295 Kb/s] | T seg: [0.9079 s] | T sec: [1.1853 s] | T frc seg: [0.0 s] | T frc sec: [0.0 s]
INFO - 23:52:50.707856	seg [9,2] | thr: [3028.9258Kb/s] | est BW: [17064.5976 Kb/s] | T seg: [0.2691 s] | T sec: [0.2691 s] | T frc seg: [0.0 s] | T frc sec: [0.0 s]
